,ValueType,value,Iteration,Variable,Model,Dataset,DataType
0,accuracy,0.9666666666666668,0,10%,Active_Random,iris,numeric
1,accuracy,0.9333333333333332,1,10%,Active_Random,iris,numeric
2,accuracy,0.8712121212121211,2,10%,Active_Random,iris,numeric
3,accuracy,0.9011764705882352,3,10%,Active_Random,iris,numeric
4,accuracy,0.9675645342312008,4,10%,Active_Random,iris,numeric
5,accuracy,0.966750208855472,5,10%,Active_Random,iris,numeric
6,accuracy,0.87,6,10%,Active_Random,iris,numeric
7,accuracy,0.8033333333333333,7,10%,Active_Random,iris,numeric
8,accuracy,0.9669841269841268,8,10%,Active_Random,iris,numeric
9,accuracy,0.8236714975845412,9,10%,Active_Random,iris,numeric
10,time,1.3383028507232666,0,10%,Active_Random,iris,numeric
11,time,1.332765817642212,1,10%,Active_Random,iris,numeric
12,time,1.333629846572876,2,10%,Active_Random,iris,numeric
13,time,1.3473367691040041,3,10%,Active_Random,iris,numeric
14,time,1.3489413261413574,4,10%,Active_Random,iris,numeric
15,time,1.3155198097229004,5,10%,Active_Random,iris,numeric
16,time,1.3730289936065674,6,10%,Active_Random,iris,numeric
17,time,1.3391966819763184,7,10%,Active_Random,iris,numeric
18,time,1.3257050514221191,8,10%,Active_Random,iris,numeric
19,time,1.4289627075195312,9,10%,Active_Random,iris,numeric
20,accuracy,0.8993788819875778,0,50%,Active_Random,iris,numeric
21,accuracy,0.8983277591973243,1,50%,Active_Random,iris,numeric
22,accuracy,0.9342592592592592,2,50%,Active_Random,iris,numeric
23,accuracy,0.9667698658410732,3,50%,Active_Random,iris,numeric
24,accuracy,0.9337962962962963,4,50%,Active_Random,iris,numeric
25,accuracy,1.0,5,50%,Active_Random,iris,numeric
26,accuracy,0.9018947368421052,6,50%,Active_Random,iris,numeric
27,accuracy,0.8254901960784314,7,50%,Active_Random,iris,numeric
28,accuracy,0.9028235294117648,8,50%,Active_Random,iris,numeric
29,accuracy,0.9669803921568628,9,50%,Active_Random,iris,numeric
30,time,1.4764773845672607,0,50%,Active_Random,iris,numeric
31,time,1.4735476970672607,1,50%,Active_Random,iris,numeric
32,time,1.5397439002990725,2,50%,Active_Random,iris,numeric
33,time,1.5476160049438477,3,50%,Active_Random,iris,numeric
34,time,1.5037150382995603,4,50%,Active_Random,iris,numeric
35,time,1.5417191982269287,5,50%,Active_Random,iris,numeric
36,time,1.5408542156219482,6,50%,Active_Random,iris,numeric
37,time,1.5027430057525637,7,50%,Active_Random,iris,numeric
38,time,1.4808926582336426,8,50%,Active_Random,iris,numeric
39,time,1.6290860176086426,9,50%,Active_Random,iris,numeric
0,accuracy,0.966051282051282,0,10%,Active_Uncertainty,iris,numeric
1,accuracy,0.9666666666666668,1,10%,Active_Uncertainty,iris,numeric
2,accuracy,0.9672820512820514,2,10%,Active_Uncertainty,iris,numeric
3,accuracy,1.0,3,10%,Active_Uncertainty,iris,numeric
4,accuracy,1.0,4,10%,Active_Uncertainty,iris,numeric
5,accuracy,1.0,5,10%,Active_Uncertainty,iris,numeric
6,accuracy,1.0,6,10%,Active_Uncertainty,iris,numeric
7,accuracy,0.9665831244778612,7,10%,Active_Uncertainty,iris,numeric
8,accuracy,0.9666666666666668,8,10%,Active_Uncertainty,iris,numeric
9,accuracy,1.0,9,10%,Active_Uncertainty,iris,numeric
10,time,2.05420994758606,0,10%,Active_Uncertainty,iris,numeric
11,time,1.865189790725708,1,10%,Active_Uncertainty,iris,numeric
12,time,1.968814849853516,2,10%,Active_Uncertainty,iris,numeric
13,time,2.0747418403625493,3,10%,Active_Uncertainty,iris,numeric
14,time,2.045654296875,4,10%,Active_Uncertainty,iris,numeric
15,time,2.0294523239135738,5,10%,Active_Uncertainty,iris,numeric
16,time,2.086374998092652,6,10%,Active_Uncertainty,iris,numeric
17,time,2.068233728408813,7,10%,Active_Uncertainty,iris,numeric
18,time,2.0445892810821533,8,10%,Active_Uncertainty,iris,numeric
19,time,2.006519556045532,9,10%,Active_Uncertainty,iris,numeric
20,accuracy,0.9657687991021324,0,50%,Active_Uncertainty,iris,numeric
21,accuracy,0.9333333333333332,1,50%,Active_Uncertainty,iris,numeric
22,accuracy,0.932962962962963,2,50%,Active_Uncertainty,iris,numeric
23,accuracy,0.9665831244778612,3,50%,Active_Uncertainty,iris,numeric
24,accuracy,1.0,4,50%,Active_Uncertainty,iris,numeric
25,accuracy,0.9333333333333332,5,50%,Active_Uncertainty,iris,numeric
26,accuracy,0.9662801932367149,6,50%,Active_Uncertainty,iris,numeric
27,accuracy,0.7980769230769231,7,50%,Active_Uncertainty,iris,numeric
28,accuracy,1.0,8,50%,Active_Uncertainty,iris,numeric
29,accuracy,0.9337037037037038,9,50%,Active_Uncertainty,iris,numeric
30,time,2.144905567169189,0,50%,Active_Uncertainty,iris,numeric
31,time,2.136581897735596,1,50%,Active_Uncertainty,iris,numeric
32,time,2.1658039093017583,2,50%,Active_Uncertainty,iris,numeric
33,time,2.3242647647857666,3,50%,Active_Uncertainty,iris,numeric
34,time,2.2907123565673833,4,50%,Active_Uncertainty,iris,numeric
35,time,2.271878480911255,5,50%,Active_Uncertainty,iris,numeric
36,time,2.2860476970672607,6,50%,Active_Uncertainty,iris,numeric
