,ValueType,value,Iteration,Variable,Model,Dataset,DataType
0,accuracy,22.85087719298245,0,10%,LabelPropagation_knn,iris,numeric
1,accuracy,28.521505376344088,1,10%,LabelPropagation_knn,iris,numeric
2,accuracy,14.035087719298243,2,10%,LabelPropagation_knn,iris,numeric
3,accuracy,48.385331143951845,3,10%,LabelPropagation_knn,iris,numeric
4,accuracy,80.92026253316577,4,10%,LabelPropagation_knn,iris,numeric
5,accuracy,42.63496503496504,5,10%,LabelPropagation_knn,iris,numeric
6,accuracy,23.282051282051288,6,10%,LabelPropagation_knn,iris,numeric
7,accuracy,18.262626262626263,7,10%,LabelPropagation_knn,iris,numeric
8,accuracy,27.619047619047624,8,10%,LabelPropagation_knn,iris,numeric
9,accuracy,50.20833333333334,9,10%,LabelPropagation_knn,iris,numeric
20,accuracy,19.67479674796748,0,50%,LabelPropagation_knn,iris,numeric
21,accuracy,19.67479674796748,1,50%,LabelPropagation_knn,iris,numeric
22,accuracy,29.696969696969692,2,50%,LabelPropagation_knn,iris,numeric
23,accuracy,16.666666666666664,3,50%,LabelPropagation_knn,iris,numeric
24,accuracy,37.10144927536233,4,50%,LabelPropagation_knn,iris,numeric
25,accuracy,11.228070175438594,5,50%,LabelPropagation_knn,iris,numeric
26,accuracy,13.846153846153845,6,50%,LabelPropagation_knn,iris,numeric
27,accuracy,8.828828828828827,7,50%,LabelPropagation_knn,iris,numeric
28,accuracy,23.2051282051282,8,50%,LabelPropagation_knn,iris,numeric
29,accuracy,26.2015503875969,9,50%,LabelPropagation_knn,iris,numeric
0,accuracy,17.333333333333336,0,10%,LabelPropagation_rbf,iris,numeric
1,accuracy,43.40579710144928,1,10%,LabelPropagation_rbf,iris,numeric
2,accuracy,15.304347826086955,2,10%,LabelPropagation_rbf,iris,numeric
3,accuracy,42.07682483544552,3,10%,LabelPropagation_rbf,iris,numeric
4,accuracy,38.063973063973066,4,10%,LabelPropagation_rbf,iris,numeric
5,accuracy,35.47222222222223,5,10%,LabelPropagation_rbf,iris,numeric
6,accuracy,28.75,6,10%,LabelPropagation_rbf,iris,numeric
7,accuracy,41.66666666666666,7,10%,LabelPropagation_rbf,iris,numeric
8,accuracy,42.561032210155005,8,10%,LabelPropagation_rbf,iris,numeric
9,accuracy,35.564043799337924,9,10%,LabelPropagation_rbf,iris,numeric
