,iterations,Variable,Accuracy,model
0,0,10%,0.6509468531890295,QBC
1,1,10%,0.7344184411739529,QBC
2,2,10%,0.6972955435385033,QBC
3,3,10%,0.6648526575407008,QBC
4,4,10%,0.7007713123205994,QBC
5,5,10%,0.7187013267430108,QBC
6,6,10%,0.7553825543615139,QBC
7,7,10%,0.7530269829093397,QBC
8,8,10%,0.6827737087151073,QBC
9,9,10%,0.6317585671375798,QBC
10,0,50%,0.7193034303409828,QBC
11,1,50%,0.7380220310580351,QBC
12,2,50%,0.7601237769609129,QBC
13,3,50%,0.7057215797412916,QBC
14,4,50%,0.7728475989345556,QBC
15,5,50%,0.728141705826299,QBC
16,6,50%,0.6847452213388784,QBC
17,7,50%,0.7401459294938012,QBC
18,8,50%,0.7888527811552443,QBC
19,9,50%,0.7855787056782529,QBC
0,0,10%,0.6502061883314414,random
1,1,10%,0.6057986782943613,random
2,2,10%,0.7182502436949542,random
3,3,10%,0.6838456214219116,random
4,4,10%,0.7160832354845439,random
5,5,10%,0.6953294418151695,random
6,6,10%,0.7454611622117128,random
7,7,10%,0.6927186245368065,random
8,8,10%,0.6621074384315492,random
9,9,10%,0.7304604561796695,random
10,0,50%,0.73186672827455,random
11,1,50%,0.7501275854725237,random
12,2,50%,0.7294465097542625,random
13,3,50%,0.7360579152010813,random
14,4,50%,0.7646910427184631,random
15,5,50%,0.7633439168372569,random
16,6,50%,0.778336092389269,random
17,7,50%,0.7183069598649875,random
18,8,50%,0.7352926096726962,random
19,9,50%,0.7583314847119736,random
0,0,10%,0.7927526545459531,uncertainty
1,1,10%,0.6726680207756661,uncertainty
2,2,10%,0.6829349549219794,uncertainty
3,3,10%,0.6534695850194351,uncertainty
4,4,10%,0.7236732644316453,uncertainty
5,5,10%,0.7223815678275932,uncertainty
6,6,10%,0.7143267276176875,uncertainty
7,7,10%,0.770962126972357,uncertainty
8,8,10%,0.7017806802017329,uncertainty
9,9,10%,0.7302631273711747,uncertainty
10,0,50%,0.7301965243943529,uncertainty
11,1,50%,0.7486551762211462,uncertainty
12,2,50%,0.7410589973150641,uncertainty
13,3,50%,0.7725492691859086,uncertainty
14,4,50%,0.7083030854537801,uncertainty
15,5,50%,0.7646855783560659,uncertainty
16,6,50%,0.7154478147298307,uncertainty
17,7,50%,0.739514095141726,uncertainty
18,8,50%,0.7649545648412381,uncertainty
19,9,50%,0.715015253340119,uncertainty
0,0,10%,0.0901148260009434,labelpropknn
1,1,10%,0.0901148260009434,labelpropknn
2,2,10%,0.0901148260009434,labelpropknn
3,3,10%,0.0901148260009434,labelpropknn
4,4,10%,0.0901148260009434,labelpropknn
5,5,10%,0.0901148260009434,labelpropknn
6,6,10%,0.0901148260009434,labelpropknn
7,7,10%,0.0901148260009434,labelpropknn
8,8,10%,0.0901148260009434,labelpropknn
9,9,10%,0.0901148260009434,labelpropknn
10,0,50%,0.18379912410206106,labelpropknn
11,1,50%,0.16036684405580398,labelpropknn
12,2,50%,0.3897951551959749,labelpropknn
13,3,50%,0.2278187528825151,labelpropknn
14,4,50%,0.3873188359975435,labelpropknn
15,5,50%,0.30006951106349555,labelpropknn
16,6,50%,0.2375326289208157,labelpropknn
17,7,50%,0.5534884723174351,labelpropknn
18,8,50%,0.25036784993540945,labelpropknn
19,9,50%,0.27940384371522736,labelpropknn
0,0,10%,0.2923366934007511,labelproprbf
1,1,10%,0.2549289555960061,labelproprbf
2,2,10%,0.13930936796752033,labelproprbf
3,3,10%,0.3310143248732333,labelproprbf
4,4,10%,0.19132031982614908,labelproprbf
5,5,10%,0.13116938086543056,labelproprbf
6,6,10%,0.1711604477132205,labelproprbf
7,7,10%,0.2756857428183888,labelproprbf
8,8,10%,0.1731204021246035,labelproprbf
9,9,10%,0.4011745869410596,labelproprbf
10,0,50%,0.5261800339410837,labelproprbf
11,1,50%,0.5518778389841331,labelproprbf
12,2,50%,0.5417813933092989,labelproprbf
13,3,50%,0.5370949809458964,labelproprbf
14,4,50%,0.5343952870776597,labelproprbf
15,5,50%,0.5268451883993509,labelproprbf
16,6,50%,0.5333470723252103,labelproprbf
17,7,50%,0.536023147008121,labelproprbf
18,8,50%,0.5350569042612521,labelproprbf
19,9,50%,0.534365076636687,labelproprbf
0,0,10%,0.7590142682183548,labelspreadknn
1,1,10%,0.7530350850122273,labelspreadknn
2,2,10%,0.7613847129335053,labelspreadknn
3,3,10%,0.7391130668757774,labelspreadknn
4,4,10%,0.7417967283858863,labelspreadknn
