,iterations,Variable,Time,model
0,0,10%,22.65100479125977,QBC
1,1,10%,22.506118297576904,QBC
2,2,10%,22.50742125511169,QBC
3,3,10%,22.59663009643555,QBC
4,4,10%,22.409466981887817,QBC
5,5,10%,22.594703435897827,QBC
6,6,10%,20.846214294433594,QBC
7,7,10%,22.716371536254893,QBC
8,8,10%,22.4504234790802,QBC
9,9,10%,22.39005732536316,QBC
10,0,50%,29.31086850166321,QBC
11,1,50%,29.071424961090088,QBC
12,2,50%,29.30648398399353,QBC
13,3,50%,29.206950187683105,QBC
14,4,50%,28.86544823646545,QBC
15,5,50%,29.427531003952023,QBC
16,6,50%,27.711331844329834,QBC
17,7,50%,29.01740312576294,QBC
18,8,50%,29.274452447891235,QBC
19,9,50%,29.07932949066162,QBC
0,0,10%,8.060121059417725,random
1,1,10%,8.077597856521606,random
2,2,10%,8.06983208656311,random
3,3,10%,8.165831327438353,random
4,4,10%,8.133291006088259,random
5,5,10%,7.989274740219116,random
6,6,10%,8.077912569046019,random
7,7,10%,7.694590091705322,random
8,8,10%,8.164550542831421,random
9,9,10%,8.072282075881956,random
10,0,50%,10.504637479782103,random
11,1,50%,10.53787612915039,random
12,2,50%,10.530253410339355,random
13,3,50%,10.559596776962278,random
14,4,50%,10.688966751098633,random
15,5,50%,10.485444784164427,random
16,6,50%,10.268410682678224,random
17,7,50%,10.355794668197634,random
18,8,50%,10.521829366683962,random
19,9,50%,10.537240505218506,random
0,0,10%,12.316680669784546,uncertainty
1,1,10%,10.97041082382202,uncertainty
2,2,10%,11.184276342391968,uncertainty
3,3,10%,12.205774784088135,uncertainty
4,4,10%,11.66560435295105,uncertainty
5,5,10%,11.013301849365234,uncertainty
6,6,10%,11.436110973358154,uncertainty
7,7,10%,11.374153852462769,uncertainty
8,8,10%,11.293572664260864,uncertainty
9,9,10%,12.292359352111815,uncertainty
10,0,50%,15.05409550666809,uncertainty
11,1,50%,14.980346441268921,uncertainty
12,2,50%,14.002456426620483,uncertainty
13,3,50%,15.145803689956665,uncertainty
14,4,50%,14.76697564125061,uncertainty
15,5,50%,14.134296655654907,uncertainty
16,6,50%,14.513333320617676,uncertainty
17,7,50%,14.18569040298462,uncertainty
18,8,50%,14.568484544754028,uncertainty
19,9,50%,15.126303434371948,uncertainty
0,0,10%,0.2302451133728028,labelpropknn
1,1,10%,0.2337746620178223,labelpropknn
2,2,10%,0.22562599182128906,labelpropknn
3,3,10%,0.2309930324554444,labelpropknn
4,4,10%,0.2238171100616455,labelpropknn
5,5,10%,0.24743103981018064,labelpropknn
6,6,10%,0.21930265426635745,labelpropknn
7,7,10%,0.21819829940795896,labelpropknn
8,8,10%,0.21658825874328613,labelpropknn
9,9,10%,0.2096426486968994,labelpropknn
10,0,50%,0.23874139785766602,labelpropknn
11,1,50%,0.2369270324707031,labelpropknn
12,2,50%,0.2366042137145996,labelpropknn
