,iterations,Variable,Accuracy,model
0,0,10%,0.17541666666666667,QBC
1,1,10%,0.19368131868131871,QBC
2,2,10%,0.14479166666666665,QBC
3,3,10%,0.2203817733990148,QBC
4,4,10%,0.06333333333333332,QBC
5,5,10%,0.14974747474747474,QBC
6,6,10%,0.19541666666666668,QBC
7,7,10%,0.2049206349206349,QBC
8,8,10%,0.2239087301587302,QBC
9,9,10%,0.2621066433566433,QBC
10,0,50%,0.14513888888888887,QBC
11,1,50%,0.1804689754689755,QBC
12,2,50%,0.14595959595959593,QBC
13,3,50%,0.16833333333333333,QBC
14,4,50%,0.2891594516594517,QBC
15,5,50%,0.17601981351981352,QBC
16,6,50%,0.20425824175824173,QBC
17,7,50%,0.2275524475524475,QBC
18,8,50%,0.12256493506493507,QBC
19,9,50%,0.13400072150072148,QBC
0,0,10%,0.2202380952380953,random
1,1,10%,0.2169805194805195,random
2,2,10%,0.09178571428571428,random
3,3,10%,0.08931623931623932,random
4,4,10%,0.16333333333333333,random
5,5,10%,0.2145363408521303,random
6,6,10%,0.2973013098013098,random
7,7,10%,0.21666666666666665,random
8,8,10%,0.12497294372294372,random
9,9,10%,0.1762121212121212,random
10,0,50%,0.22111111111111112,random
11,1,50%,0.26519536019536016,random
12,2,50%,0.09732142857142856,random
13,3,50%,0.17345779220779226,random
14,4,50%,0.1473611111111111,random
15,5,50%,0.11022727272727273,random
16,6,50%,0.17941558441558442,random
17,7,50%,0.3095695970695971,random
18,8,50%,0.17615967365967364,random
19,9,50%,0.09937770562770562,random
0,0,10%,0.2900549450549451,uncertainty
1,1,10%,0.13511904761904764,uncertainty
2,2,10%,0.1718237318237318,uncertainty
3,3,10%,0.23801864801864805,uncertainty
4,4,10%,0.14250000000000002,uncertainty
5,5,10%,0.1855555555555556,uncertainty
6,6,10%,0.2640476190476191,uncertainty
7,7,10%,0.13222222222222224,uncertainty
8,8,10%,0.19436507936507932,uncertainty
9,9,10%,0.2429681429681429,uncertainty
10,0,50%,0.18074494949494951,uncertainty
11,1,50%,0.20166666666666666,uncertainty
12,2,50%,0.18404761904761907,uncertainty
13,3,50%,0.15767857142857142,uncertainty
14,4,50%,0.20680014430014432,uncertainty
15,5,50%,0.22727272727272724,uncertainty
16,6,50%,0.1178030303030303,uncertainty
17,7,50%,0.05181818181818182,uncertainty
18,8,50%,0.10085470085470086,uncertainty
19,9,50%,0.2228583916083916,uncertainty
0,0,10%,0.018181818181818184,labelpropknn
1,1,10%,0.018181818181818184,labelpropknn
2,2,10%,0.018181818181818184,labelpropknn
3,3,10%,0.018181818181818184,labelpropknn
4,4,10%,0.018181818181818184,labelpropknn
5,5,10%,0.018181818181818184,labelpropknn
6,6,10%,0.018181818181818184,labelpropknn
7,7,10%,0.018181818181818184,labelpropknn
8,8,10%,0.018181818181818184,labelpropknn
9,9,10%,0.018181818181818184,labelpropknn
10,0,50%,0.01751152073732719,labelpropknn
11,1,50%,0.08913939928302927,labelpropknn
12,2,50%,0.18190528576434167,labelpropknn
13,3,50%,0.13884633755352285,labelpropknn
14,4,50%,0.1979925598272325,labelpropknn
15,5,50%,0.1554471417734962,labelpropknn
16,6,50%,0.027788649706457925,labelpropknn
17,7,50%,0.17191160341313,labelpropknn
18,8,50%,0.2039514871555949,labelpropknn
19,9,50%,0.2332225805388753,labelpropknn
0,0,10%,0.018181818181818184,labelproprbf
1,1,10%,0.018181818181818184,labelproprbf
2,2,10%,0.018181818181818184,labelproprbf
3,3,10%,0.018181818181818184,labelproprbf
4,4,10%,0.018181818181818184,labelproprbf
5,5,10%,0.018181818181818184,labelproprbf
6,6,10%,0.018181818181818184,labelproprbf
7,7,10%,0.018181818181818184,labelproprbf
8,8,10%,0.018181818181818184,labelproprbf
9,9,10%,0.018181818181818184,labelproprbf
10,0,50%,0.018181818181818184,labelproprbf
11,1,50%,0.018181818181818184,labelproprbf
12,2,50%,0.018181818181818184,labelproprbf
13,3,50%,0.018181818181818184,labelproprbf
14,4,50%,0.018181818181818184,labelproprbf
15,5,50%,0.018181818181818184,labelproprbf
16,6,50%,0.018181818181818184,labelproprbf
17,7,50%,0.018181818181818184,labelproprbf
18,8,50%,0.018181818181818184,labelproprbf
19,9,50%,0.018181818181818184,labelproprbf
0,0,10%,0.09796362218537527,labelspreadknn
1,1,10%,0.07930152095669338,labelspreadknn
2,2,10%,0.11536683360212772,labelspreadknn
3,3,10%,0.0641855984046137,labelspreadknn
4,4,10%,0.05235562310030395,labelspreadknn
5,5,10%,0.09165709085343683,labelspreadknn
6,6,10%,0.09912030341018978,labelspreadknn
7,7,10%,0.0909076913720094,labelspreadknn
8,8,10%,0.10022100794340724,labelspreadknn
9,9,10%,0.10353341013824884,labelspreadknn
10,0,50%,0.2476791088860055,labelspreadknn
11,1,50%,0.2186053485240021,labelspreadknn
12,2,50%,0.2502555987109056,labelspreadknn
13,3,50%,0.2220186996368441,labelspreadknn
14,4,50%,0.21009997257195825,labelspreadknn
15,5,50%,0.1916468130510092,labelspreadknn
16,6,50%,0.2496829832516197,labelspreadknn
17,7,50%,0.18299001096247647,labelspreadknn
18,8,50%,0.21806900781735905,labelspreadknn
19,9,50%,0.2686017199403927,labelspreadknn
0,0,10%,0.2253285265466226,labelspreadrbf
1,1,10%,0.17463120655899764,labelspreadrbf
2,2,10%,0.2270340392574276,labelspreadrbf
3,3,10%,0.18305097952156774,labelspreadrbf
4,4,10%,0.17025142767603452,labelspreadrbf
5,5,10%,0.19702665232077,labelspreadrbf
6,6,10%,0.17889482029843834,labelspreadrbf
7,7,10%,0.15391691924366793,labelspreadrbf
8,8,10%,0.16600326787175226,labelspreadrbf
9,9,10%,0.24635656083040325,labelspreadrbf
10,0,50%,0.5490318770412125,labelspreadrbf
11,1,50%,0.5694286878830082,labelspreadrbf
12,2,50%,0.5975432573904293,labelspreadrbf
13,3,50%,0.5652455695069905,labelspreadrbf
14,4,50%,0.5727914190730845,labelspreadrbf
15,5,50%,0.6058462313515542,labelspreadrbf
16,6,50%,0.5950202204492823,labelspreadrbf
17,7,50%,0.5819894349620833,labelspreadrbf
18,8,50%,0.5946130060519406,labelspreadrbf
19,9,50%,0.5767007073816148,labelspreadrbf
