,iterations,Variable,Time,model
0,0,10%,640.5605487823486,QBC
1,1,10%,637.7039349079133,QBC
2,2,10%,654.3213593959807,QBC
3,3,10%,636.3908500671388,QBC
4,4,10%,635.5550332069398,QBC
5,5,10%,633.9105370044707,QBC
6,6,10%,638.3997342586517,QBC
7,7,10%,637.5612072944641,QBC
8,8,10%,631.5256364345549,QBC
9,9,10%,640.6785137653352,QBC
10,0,50%,1938.0676021575928,QBC
11,1,50%,1925.5296671390533,QBC
12,2,50%,1936.6292932033537,QBC
13,3,50%,1940.8539369106293,QBC
14,4,50%,1935.359126329422,QBC
15,5,50%,1924.4747560024261,QBC
16,6,50%,1927.7091076374054,QBC
17,7,50%,1939.007602930069,QBC
18,8,50%,1938.3119566440585,QBC
19,9,50%,2585.481526374817,QBC
0,0,10%,85.67386722564697,random
1,1,10%,84.22896432876588,random
2,2,10%,84.93212485313416,random
3,3,10%,85.40377140045166,random
4,4,10%,86.61699676513672,random
5,5,10%,86.04181742668152,random
6,6,10%,88.45537424087523,random
7,7,10%,86.06883406639099,random
8,8,10%,85.23611187934874,random
9,9,10%,85.47121167182921,random
10,0,50%,239.20511031150815,random
11,1,50%,238.3588035106659,random
12,2,50%,235.75480890274048,random
13,3,50%,238.1120321750641,random
14,4,50%,237.9202287197113,random
15,5,50%,239.70811915397644,random
16,6,50%,239.3084774017334,random
17,7,50%,238.9386169910431,random
18,8,50%,237.62325310707092,random
19,9,50%,237.75090408325195,random
0,0,10%,166.3872263431549,uncertainty
1,1,10%,160.63208079338077,uncertainty
2,2,10%,164.20060706138608,uncertainty
3,3,10%,161.11432576179502,uncertainty
4,4,10%,159.12081432342532,uncertainty
5,5,10%,161.24608325958255,uncertainty
6,6,10%,163.45729565620422,uncertainty
7,7,10%,160.15874576568604,uncertainty
8,8,10%,158.93536686897278,uncertainty
9,9,10%,161.2104768753052,uncertainty
10,0,50%,470.9475886821747,uncertainty
11,1,50%,466.7546353340149,uncertainty
12,2,50%,471.08547592163086,uncertainty
13,3,50%,472.4598224163056,uncertainty
14,4,50%,467.73148107528687,uncertainty
15,5,50%,467.61972641944885,uncertainty
16,6,50%,464.7881484031677,uncertainty
17,7,50%,470.7281129360199,uncertainty
18,8,50%,467.7006821632385,uncertainty
19,9,50%,470.50187730789185,uncertainty
0,0,10%,0.5810732841491699,labelpropknn
1,1,10%,0.5823979377746582,labelpropknn
2,2,10%,0.573145866394043,labelpropknn
