,iterations,Variable,Accuracy,model
0,0,10%,0.8695706135521971,QBC
1,1,10%,0.8709974424552429,QBC
2,2,10%,0.9105716302046579,QBC
3,3,10%,0.8802922077922077,QBC
4,4,10%,0.8902756892230577,QBC
5,5,10%,0.9600481734243276,QBC
6,6,10%,0.9501055170334641,QBC
7,7,10%,0.8893875898370279,QBC
8,8,10%,0.9500556736511792,QBC
9,9,10%,0.9199036531513448,QBC
10,0,50%,0.9501098441259548,QBC
11,1,50%,0.879903961584634,QBC
12,2,50%,0.9101353383458648,QBC
13,3,50%,0.9103157894736842,QBC
14,4,50%,0.9199679871948778,QBC
15,5,50%,0.9098108297467719,QBC
16,6,50%,0.969984962406015,QBC
17,7,50%,0.9100270243218896,QBC
18,8,50%,0.96,QBC
19,9,50%,0.9700090081072966,QBC
0,0,10%,0.7603485838779956,random
1,1,10%,0.8219510236852671,random
2,2,10%,0.88,random
3,3,10%,0.8171158833903931,random
4,4,10%,0.8226298701298701,random
5,5,10%,0.96,random
6,6,10%,0.9298620188816268,random
7,7,10%,0.6729578893962456,random
8,8,10%,0.7940014114326042,random
9,9,10%,0.6097582417582418,random
10,0,50%,0.94025,random
11,1,50%,0.8525785779676535,random
12,2,50%,0.8902756892230577,random
13,3,50%,0.9298947368421052,random
14,4,50%,0.8897027324592134,random
15,5,50%,0.9,random
16,6,50%,0.9004830917874395,random
17,7,50%,0.9,random
18,8,50%,0.9399759903961584,random
19,9,50%,0.9502268373828008,random
0,0,10%,0.9500556736511792,uncertainty
1,1,10%,0.8706401366696815,uncertainty
2,2,10%,0.86,uncertainty
3,3,10%,0.91000900090009,uncertainty
4,4,10%,0.8997591328783621,uncertainty
5,5,10%,0.9201282051282048,uncertainty
6,6,10%,0.9000400160064026,uncertainty
7,7,10%,0.96,uncertainty
8,8,10%,0.92,uncertainty
9,9,10%,0.9201926936973104,uncertainty
10,0,50%,0.9400720288115244,uncertainty
11,1,50%,0.9300210189170252,uncertainty
12,2,50%,0.8902972675407866,uncertainty
13,3,50%,0.920064025610244,uncertainty
14,4,50%,0.8988576091391269,uncertainty
15,5,50%,0.9599518265756724,uncertainty
16,6,50%,0.9300779431116508,uncertainty
17,7,50%,0.9800487012987014,uncertainty
18,8,50%,0.9098648783905514,uncertainty
19,9,50%,0.9300635144671844,uncertainty
0,0,10%,0.3333333333333333,labelpropknn
1,1,10%,0.3333333333333333,labelpropknn
2,2,10%,0.3333333333333333,labelpropknn
3,3,10%,0.3333333333333333,labelpropknn
4,4,10%,0.3333333333333333,labelpropknn
5,5,10%,0.3333333333333333,labelpropknn
6,6,10%,0.3333333333333333,labelpropknn
7,7,10%,0.3333333333333333,labelpropknn
8,8,10%,0.3333333333333333,labelpropknn
9,9,10%,0.3333333333333333,labelpropknn
10,0,50%,0.4580254307336703,labelpropknn
11,1,50%,0.4626426205373574,labelpropknn
12,2,50%,0.4741153262666065,labelpropknn
13,3,50%,0.42428894634776987,labelpropknn
14,4,50%,0.33776243490656865,labelpropknn
15,5,50%,0.5418419822346892,labelpropknn
16,6,50%,0.446979812272066,labelpropknn
17,7,50%,0.9199987199795197,labelpropknn
18,8,50%,0.4577352472089313,labelpropknn
19,9,50%,0.4865655371108484,labelpropknn
0,0,10%,0.3594590053763441,labelproprbf
1,1,10%,0.8243578851055486,labelproprbf
2,2,10%,0.3551783129359126,labelproprbf
3,3,10%,0.3465297289288908,labelproprbf
4,4,10%,0.3594590053763441,labelproprbf
5,5,10%,0.4007498309807215,labelproprbf
6,6,10%,0.4357366771159875,labelproprbf
7,7,10%,0.3333333333333333,labelproprbf
8,8,10%,0.3333333333333333,labelproprbf
9,9,10%,0.4281280388570623,labelproprbf
10,0,50%,0.8254182772686381,labelproprbf
11,1,50%,0.9059815723881882,labelproprbf
12,2,50%,0.8433526599532093,labelproprbf
13,3,50%,0.87906346749226,labelproprbf
14,4,50%,0.9159879022579251,labelproprbf
15,5,50%,0.8478819076825721,labelproprbf
16,6,50%,0.8689384010484927,labelproprbf
