,iterations,Variable,Time,model
0,0,10%,13.296703338623047,QBC
1,1,10%,13.100760698318481,QBC
2,2,10%,12.963205337524414,QBC
3,3,10%,13.029849290847778,QBC
4,4,10%,12.997904777526855,QBC
5,5,10%,13.147964000701904,QBC
6,6,10%,13.169155359268188,QBC
7,7,10%,13.054632425308228,QBC
8,8,10%,13.041706323623655,QBC
9,9,10%,12.971694946289062,QBC
10,0,50%,13.381172895431519,QBC
11,1,50%,13.35627031326294,QBC
12,2,50%,13.298091650009155,QBC
13,3,50%,13.41332483291626,QBC
14,4,50%,13.30448865890503,QBC
15,5,50%,13.331323146820068,QBC
16,6,50%,13.393625497817993,QBC
17,7,50%,13.437308311462402,QBC
18,8,50%,13.342121362686155,QBC
19,9,50%,13.359916925430298,QBC
0,0,10%,3.055622100830078,random
1,1,10%,3.0090861320495605,random
2,2,10%,2.9628119468688965,random
3,3,10%,2.979527473449707,random
4,4,10%,2.9751436710357666,random
5,5,10%,2.9705965518951416,random
6,6,10%,2.9833884239196777,random
7,7,10%,3.004998207092285,random
8,8,10%,3.00994086265564,random
9,9,10%,3.017411231994629,random
10,0,50%,3.490346670150757,random
11,1,50%,3.532932758331299,random
12,2,50%,3.52022647857666,random
13,3,50%,3.5115199089050293,random
14,4,50%,3.4817020893096924,random
15,5,50%,3.557251453399658,random
16,6,50%,3.510750770568848,random
17,7,50%,3.4856319427490234,random
18,8,50%,3.4893064498901367,random
19,9,50%,3.5205585956573486,random
0,0,10%,4.337271928787232,uncertainty
1,1,10%,4.285699367523193,uncertainty
2,2,10%,4.2014379501342765,uncertainty
3,3,10%,4.215703248977661,uncertainty
4,4,10%,4.200390577316283,uncertainty
5,5,10%,4.201822996139526,uncertainty
6,6,10%,4.411019563674927,uncertainty
7,7,10%,4.388335704803467,uncertainty
8,8,10%,4.287108898162842,uncertainty
9,9,10%,4.224843978881837,uncertainty
10,0,50%,4.71335244178772,uncertainty
11,1,50%,4.699749946594238,uncertainty
12,2,50%,4.69336462020874,uncertainty
13,3,50%,4.688372611999512,uncertainty
14,4,50%,4.725569009780884,uncertainty
15,5,50%,4.694955110549927,uncertainty
16,6,50%,4.679886341094972,uncertainty
17,7,50%,4.70665717124939,uncertainty
18,8,50%,4.712291479110718,uncertainty
19,9,50%,4.862032890319824,uncertainty
0,0,10%,0.07941603660583496,labelpropknn
1,1,10%,0.07961320877075195,labelpropknn
2,2,10%,0.0791015625,labelpropknn
3,3,10%,0.0798952579498291,labelpropknn
4,4,10%,0.07889342308044434,labelpropknn
5,5,10%,0.07857346534729004,labelpropknn
6,6,10%,0.07939672470092772,labelpropknn
7,7,10%,0.07847905158996582,labelpropknn
8,8,10%,0.07828688621520996,labelpropknn
9,9,10%,0.07853126525878906,labelpropknn
10,0,50%,0.08130073547363281,labelpropknn
11,1,50%,0.08551692962646484,labelpropknn
12,2,50%,0.08105087280273438,labelpropknn
13,3,50%,0.08303070068359375,labelpropknn
14,4,50%,0.08023428916931152,labelpropknn
15,5,50%,0.08074283599853516,labelpropknn
16,6,50%,0.08032035827636719,labelpropknn
17,7,50%,0.012259721755981444,labelpropknn
18,8,50%,0.07998323440551758,labelpropknn
19,9,50%,0.08033418655395508,labelpropknn
0,0,10%,0.0326080322265625,labelproprbf
1,1,10%,0.029137849807739258,labelproprbf
2,2,10%,0.017375469207763672,labelproprbf
3,3,10%,0.02581048011779785,labelproprbf
4,4,10%,0.028134822845458984,labelproprbf
5,5,10%,0.024758338928222656,labelproprbf
6,6,10%,0.014755964279174803,labelproprbf
7,7,10%,0.016458749771118164,labelproprbf
8,8,10%,0.027144193649291992,labelproprbf
9,9,10%,0.01588582992553711,labelproprbf
10,0,50%,0.014188289642333984,labelproprbf
11,1,50%,0.0289766788482666,labelproprbf
12,2,50%,0.01343083381652832,labelproprbf
13,3,50%,0.013123273849487305,labelproprbf
14,4,50%,0.013305902481079102,labelproprbf
15,5,50%,0.013457059860229492,labelproprbf
16,6,50%,0.013381481170654295,labelproprbf
17,7,50%,0.013366937637329102,labelproprbf
18,8,50%,0.013173818588256836,labelproprbf
19,9,50%,0.013387680053710938,labelproprbf
0,0,10%,0.01229095458984375,labelspreadknn
1,1,10%,0.012145519256591795,labelspreadknn
2,2,10%,0.012467145919799805,labelspreadknn
3,3,10%,0.01220417022705078,labelspreadknn
4,4,10%,0.012223482131958008,labelspreadknn
5,5,10%,0.013179540634155272,labelspreadknn
6,6,10%,0.012078523635864258,labelspreadknn
7,7,10%,0.012091636657714844,labelspreadknn
8,8,10%,0.012125492095947266,labelspreadknn
9,9,10%,0.012192487716674805,labelspreadknn
10,0,50%,0.011716365814208984,labelspreadknn
11,1,50%,0.01167893409729004,labelspreadknn
12,2,50%,0.01171875,labelspreadknn
13,3,50%,0.01165628433227539,labelspreadknn
14,4,50%,0.011618852615356444,labelspreadknn
15,5,50%,0.01260995864868164,labelspreadknn
16,6,50%,0.011716127395629885,labelspreadknn
17,7,50%,0.011656522750854492,labelspreadknn
18,8,50%,0.011784791946411131,labelspreadknn
19,9,50%,0.011671304702758787,labelspreadknn
0,0,10%,0.014828681945800781,labelspreadrbf
1,1,10%,0.014020681381225586,labelspreadrbf
2,2,10%,0.01413726806640625,labelspreadrbf
3,3,10%,0.014294624328613281,labelspreadrbf
4,4,10%,0.014333009719848631,labelspreadrbf
5,5,10%,0.014147043228149412,labelspreadrbf
6,6,10%,0.014694690704345703,labelspreadrbf
