,iterations,Variable,Accuracy,model
0,0,10%,0.9210711738388102,QBC
1,1,10%,0.8957317139126519,QBC
2,2,10%,0.9047870116809572,QBC
3,3,10%,0.9382408819813838,QBC
4,4,10%,0.9404074965255655,QBC
5,5,10%,0.9181819476805108,QBC
6,6,10%,0.9202098363078144,QBC
7,7,10%,0.8987947363751057,QBC
8,8,10%,0.8903190335040189,QBC
9,9,10%,0.9205598408598588,QBC
10,0,50%,0.9692787422021648,QBC
11,1,50%,0.9523892606413864,QBC
12,2,50%,0.9427763000499948,QBC
13,3,50%,0.9610689770772696,QBC
14,4,50%,0.9441544600629714,QBC
15,5,50%,0.9495626315796192,QBC
16,6,50%,0.9638247108888712,QBC
17,7,50%,0.93267997025893,QBC
18,8,50%,0.952393584481252,QBC
19,9,50%,0.9579261714938656,QBC
0,0,10%,0.9145347038824316,random
1,1,10%,0.913880965657987,random
2,2,10%,0.9060285107151399,random
3,3,10%,0.927608071973471,random
4,4,10%,0.8821860421661321,random
5,5,10%,0.9305135943453432,random
6,6,10%,0.9155214615534514,random
7,7,10%,0.897119095931717,random
8,8,10%,0.9199520765578222,random
9,9,10%,0.9365489218220941,random
10,0,50%,0.9469607578169454,random
11,1,50%,0.9580628301801744,random
12,2,50%,0.9553533259005592,random
13,3,50%,0.9466611207408976,random
14,4,50%,0.9473192566228776,random
15,5,50%,0.9274109962853028,random
16,6,50%,0.936533509873454,random
17,7,50%,0.9465833616459628,random
18,8,50%,0.9499123122231421,random
19,9,50%,0.9331250281723164,random
0,0,10%,0.9018515879443944,uncertainty
1,1,10%,0.8987503267331849,uncertainty
2,2,10%,0.9235271488359681,uncertainty
3,3,10%,0.9460370420089516,uncertainty
4,4,10%,0.9278134975106008,uncertainty
5,5,10%,0.9074283481861533,uncertainty
6,6,10%,0.9355330682751876,uncertainty
7,7,10%,0.8905553592239007,uncertainty
8,8,10%,0.9307810527158652,uncertainty
9,9,10%,0.9228911481472822,uncertainty
10,0,50%,0.9525661704590098,uncertainty
11,1,50%,0.9609169256801569,uncertainty
12,2,50%,0.9524596714874876,uncertainty
13,3,50%,0.9666347201430284,uncertainty
14,4,50%,0.9556904291408078,uncertainty
15,5,50%,0.9579742578878124,uncertainty
16,6,50%,0.9408907873506308,uncertainty
17,7,50%,0.974881947973207,uncertainty
18,8,50%,0.9289674239148,uncertainty
19,9,50%,0.9442616605979924,uncertainty
0,0,10%,0.017854793150327904,labelpropknn
1,1,10%,0.027473701115123282,labelpropknn
2,2,10%,0.017854793150327904,labelpropknn
3,3,10%,0.017854793150327904,labelpropknn
4,4,10%,0.017854793150327904,labelpropknn
5,5,10%,0.017854793150327904,labelpropknn
6,6,10%,0.017854793150327904,labelpropknn
7,7,10%,0.017854793150327904,labelpropknn
8,8,10%,0.0222466358385432,labelpropknn
9,9,10%,0.017854793150327904,labelpropknn
10,0,50%,0.6670981296938567,labelpropknn
11,1,50%,0.35229415063843017,labelpropknn
12,2,50%,0.6092008051713039,labelpropknn
13,3,50%,0.4764701711195372,labelpropknn
14,4,50%,0.5934020704768469,labelpropknn
15,5,50%,0.4571002382310965,labelpropknn
16,6,50%,0.4578140870644806,labelpropknn
17,7,50%,0.6764462549127396,labelpropknn
18,8,50%,0.4942929495988288,labelpropknn
19,9,50%,0.6375303582405052,labelpropknn
0,0,10%,0.017854793150327904,labelproprbf
1,1,10%,0.017854793150327904,labelproprbf
2,2,10%,0.017854793150327904,labelproprbf
3,3,10%,0.017854793150327904,labelproprbf
4,4,10%,0.017854793150327904,labelproprbf
5,5,10%,0.017854793150327904,labelproprbf
6,6,10%,0.017854793150327904,labelproprbf
7,7,10%,0.017854793150327904,labelproprbf
8,8,10%,0.017854793150327904,labelproprbf
9,9,10%,0.017854793150327904,labelproprbf
10,0,50%,0.017854793150327904,labelproprbf
11,1,50%,0.017854793150327904,labelproprbf
12,2,50%,0.017854793150327904,labelproprbf
13,3,50%,0.017854793150327904,labelproprbf
14,4,50%,0.017854793150327904,labelproprbf
15,5,50%,0.017854793150327904,labelproprbf
16,6,50%,0.017854793150327904,labelproprbf
17,7,50%,0.017854793150327904,labelproprbf
18,8,50%,0.017854793150327904,labelproprbf
19,9,50%,0.017854793150327904,labelproprbf
0,0,10%,0.9815867218413432,labelspreadknn
1,1,10%,0.979925132566538,labelspreadknn
2,2,10%,0.9805037120815964,labelspreadknn
3,3,10%,0.9701730725507696,labelspreadknn
4,4,10%,0.986097684639996,labelspreadknn
5,5,10%,0.981615032910943,labelspreadknn
6,6,10%,0.973226724329386,labelspreadknn
7,7,10%,0.9799118336000816,labelspreadknn
8,8,10%,0.9756184677364792,labelspreadknn
9,9,10%,0.9699055791700336,labelspreadknn
10,0,50%,0.9882976123407858,labelspreadknn
11,1,50%,0.9883054835360447,labelspreadknn
12,2,50%,0.9882971708993502,labelspreadknn
13,3,50%,0.9866409311707892,labelspreadknn
14,4,50%,0.9888608839665868,labelspreadknn
15,5,50%,0.9877461465404336,labelspreadknn
16,6,50%,0.9866297804942672,labelspreadknn
17,7,50%,0.9860751558066132,labelspreadknn
18,8,50%,0.9860854120314304,labelspreadknn
19,9,50%,0.9877394055456552,labelspreadknn
0,0,10%,0.983274257761351,labelspreadrbf
1,1,10%,0.9717209738319668,labelspreadrbf
2,2,10%,0.9827194150940184,labelspreadrbf
3,3,10%,0.9716984687452704,labelspreadrbf
4,4,10%,0.9788902274308552,labelspreadrbf
5,5,10%,0.9726748926324406,labelspreadrbf
6,6,10%,0.9764671556633068,labelspreadrbf
7,7,10%,0.9816689353878184,labelspreadrbf
8,8,10%,0.9711404298034542,labelspreadrbf
9,9,10%,0.9855248414660479,labelspreadrbf
10,0,50%,0.9949870327952024,labelspreadrbf
11,1,50%,0.9927544199514334,labelspreadrbf
12,2,50%,0.9933109035982688,labelspreadrbf
13,3,50%,0.9938784975128844,labelspreadrbf
14,4,50%,0.9955434374637896,labelspreadrbf
15,5,50%,0.9944378318662952,labelspreadrbf
16,6,50%,0.9944351712966,labelspreadrbf
17,7,50%,0.9927651958080932,labelspreadrbf
18,8,50%,0.9922298468383134,labelspreadrbf
19,9,50%,0.9944225001365328,labelspreadrbf
