,iterations,Variable,Time,model
0,0,10%,65.45932078361511,QBC
1,1,10%,65.59012770652771,QBC
2,2,10%,65.35782647132875,QBC
3,3,10%,66.71586489677429,QBC
4,4,10%,65.79000091552734,QBC
5,5,10%,65.47131514549254,QBC
6,6,10%,66.28824186325072,QBC
7,7,10%,65.85170102119446,QBC
8,8,10%,65.91040802001953,QBC
9,9,10%,66.04196190834045,QBC
10,0,50%,279.9416210651397,QBC
11,1,50%,278.39071226119995,QBC
12,2,50%,284.3127977848053,QBC
13,3,50%,277.0002784729004,QBC
14,4,50%,283.1962206363678,QBC
15,5,50%,279.05981183052063,QBC
16,6,50%,278.49928379058844,QBC
17,7,50%,279.19724488258356,QBC
18,8,50%,281.23142433166504,QBC
19,9,50%,282.8793981075287,QBC
0,0,10%,13.375962018966675,random
1,1,10%,13.345869064331055,random
2,2,10%,13.325088500976562,random
3,3,10%,13.21126413345337,random
4,4,10%,13.280151844024658,random
5,5,10%,13.315187692642212,random
6,6,10%,13.32797646522522,random
7,7,10%,13.218549489974976,random
8,8,10%,13.176721334457396,random
9,9,10%,13.54519009590149,random
10,0,50%,40.95060396194458,random
11,1,50%,40.75498938560486,random
12,2,50%,42.292830228805535,random
13,3,50%,41.18645167350768,random
14,4,50%,40.8320550918579,random
15,5,50%,40.97595977783203,random
16,6,50%,41.16917014122009,random
17,7,50%,40.95192098617554,random
18,8,50%,41.24991917610169,random
19,9,50%,41.44400978088379,random
0,0,10%,23.72655868530273,uncertainty
1,1,10%,23.98737072944641,uncertainty
2,2,10%,23.86652493476868,uncertainty
3,3,10%,23.402227640151978,uncertainty
4,4,10%,23.23288917541504,uncertainty
5,5,10%,23.23933529853821,uncertainty
6,6,10%,23.229888916015625,uncertainty
7,7,10%,23.26199531555176,uncertainty
8,8,10%,23.30193591117859,uncertainty
9,9,10%,23.414490699768066,uncertainty
10,0,50%,79.62458443641663,uncertainty
11,1,50%,79.76122474670409,uncertainty
12,2,50%,80.1197111606598,uncertainty
13,3,50%,79.53370833396913,uncertainty
14,4,50%,79.70001554489136,uncertainty
15,5,50%,79.4735553264618,uncertainty
16,6,50%,80.01254916191102,uncertainty
17,7,50%,78.57558393478394,uncertainty
18,8,50%,78.49752616882323,uncertainty
19,9,50%,79.88316011428833,uncertainty
0,0,10%,1.0623891353607178,labelpropknn
1,1,10%,1.0574872493743896,labelpropknn
2,2,10%,1.0539376735687256,labelpropknn
3,3,10%,1.0750789642333984,labelpropknn
4,4,10%,1.0631580352783203,labelpropknn
5,5,10%,1.0574221611022951,labelpropknn
6,6,10%,1.065964937210083,labelpropknn
7,7,10%,1.0572869777679443,labelpropknn
8,8,10%,1.0600533485412598,labelpropknn
9,9,10%,1.0581285953521729,labelpropknn
10,0,50%,1.0734479427337646,labelpropknn
11,1,50%,1.0706398487091064,labelpropknn
12,2,50%,1.0739765167236328,labelpropknn
13,3,50%,1.0739204883575442,labelpropknn
14,4,50%,1.074666976928711,labelpropknn
15,5,50%,1.07112455368042,labelpropknn
16,6,50%,1.072418212890625,labelpropknn
17,7,50%,1.0743505954742432,labelpropknn
18,8,50%,1.0721068382263184,labelpropknn
19,9,50%,1.0745441913604736,labelpropknn
0,0,10%,0.6606631278991699,labelproprbf
1,1,10%,0.6662948131561279,labelproprbf
2,2,10%,0.6505424976348877,labelproprbf
3,3,10%,0.658008337020874,labelproprbf
4,4,10%,0.6632025241851807,labelproprbf
5,5,10%,0.6625270843505859,labelproprbf
6,6,10%,0.668846845626831,labelproprbf
7,7,10%,0.6701650619506836,labelproprbf
8,8,10%,0.6529619693756104,labelproprbf
9,9,10%,0.637953519821167,labelproprbf
10,0,50%,0.675051212310791,labelproprbf
11,1,50%,0.6737072467803955,labelproprbf
12,2,50%,0.6760342121124268,labelproprbf
13,3,50%,0.6842987537384033,labelproprbf
14,4,50%,0.6798145771026611,labelproprbf
15,5,50%,0.6844329833984375,labelproprbf
16,6,50%,0.7018413543701172,labelproprbf
17,7,50%,0.6902754306793213,labelproprbf
18,8,50%,0.66748046875,labelproprbf
19,9,50%,0.6635670661926271,labelproprbf
0,0,10%,0.7452409267425537,labelspreadknn
1,1,10%,0.7269978523254395,labelspreadknn
2,2,10%,0.7340049743652344,labelspreadknn
3,3,10%,0.7330610752105713,labelspreadknn
4,4,10%,0.7365157604217529,labelspreadknn
5,5,10%,0.7277953624725342,labelspreadknn
6,6,10%,0.738445520401001,labelspreadknn
7,7,10%,0.7328891754150391,labelspreadknn
8,8,10%,0.734851598739624,labelspreadknn
9,9,10%,0.733104944229126,labelspreadknn
10,0,50%,0.7440042495727539,labelspreadknn
11,1,50%,0.7339661121368408,labelspreadknn
12,2,50%,0.7353355884552002,labelspreadknn
13,3,50%,0.7333447933197021,labelspreadknn
14,4,50%,0.7330543994903564,labelspreadknn
15,5,50%,0.7305426597595215,labelspreadknn
16,6,50%,0.7385210990905762,labelspreadknn
17,7,50%,0.7316439151763916,labelspreadknn
18,8,50%,0.7381529808044434,labelspreadknn
19,9,50%,0.730785608291626,labelspreadknn
0,0,10%,0.2853167057037353,labelspreadrbf
1,1,10%,0.2842597961425781,labelspreadrbf
2,2,10%,0.2791578769683838,labelspreadrbf
3,3,10%,0.2827832698822021,labelspreadrbf
4,4,10%,0.2789435386657715,labelspreadrbf
5,5,10%,0.2825758457183838,labelspreadrbf
6,6,10%,0.2795665264129639,labelspreadrbf
7,7,10%,0.2787625789642334,labelspreadrbf
8,8,10%,0.2759556770324707,labelspreadrbf
9,9,10%,0.2761414051055908,labelspreadrbf
10,0,50%,0.28053879737854004,labelspreadrbf
11,1,50%,0.27617573738098145,labelspreadrbf
12,2,50%,0.27734851837158203,labelspreadrbf
13,3,50%,0.27962779998779297,labelspreadrbf
14,4,50%,0.27701640129089355,labelspreadrbf
15,5,50%,0.276472806930542,labelspreadrbf
16,6,50%,0.2779977321624756,labelspreadrbf
17,7,50%,0.2747218608856201,labelspreadrbf
18,8,50%,0.2740893363952637,labelspreadrbf
19,9,50%,0.2733299732208252,labelspreadrbf
