,iterations,Variable,Accuracy,model
0,0,10%,0.9347222222222221,QBC
1,1,10%,0.9,QBC
2,2,10%,0.9342592592592592,QBC
3,3,10%,0.9009287925696596,QBC
4,4,10%,0.9666666666666668,QBC
5,5,10%,0.9011594202898552,QBC
6,6,10%,0.9666666666666668,QBC
7,7,10%,0.9321937321937322,QBC
8,8,10%,0.96692242114237,QBC
9,9,10%,0.9324074074074074,QBC
10,0,50%,0.9324074074074074,QBC
11,1,50%,1.0,QBC
12,2,50%,0.9333333333333332,QBC
13,3,50%,0.8587301587301587,QBC
14,4,50%,0.9663492063492064,QBC
15,5,50%,0.90230179028133,QBC
16,6,50%,0.8624338624338624,QBC
17,7,50%,0.9664561403508772,QBC
18,8,50%,0.9330303030303032,QBC
19,9,50%,1.0,QBC
0,0,10%,0.9666666666666668,random
1,1,10%,0.9333333333333332,random
2,2,10%,0.8712121212121211,random
3,3,10%,0.9011764705882352,random
4,4,10%,0.9675645342312008,random
5,5,10%,0.966750208855472,random
6,6,10%,0.87,random
7,7,10%,0.8033333333333333,random
8,8,10%,0.9669841269841268,random
9,9,10%,0.8236714975845412,random
10,0,50%,0.8993788819875778,random
11,1,50%,0.8983277591973243,random
12,2,50%,0.9342592592592592,random
13,3,50%,0.9667698658410732,random
14,4,50%,0.9337962962962963,random
15,5,50%,1.0,random
16,6,50%,0.9018947368421052,random
17,7,50%,0.8254901960784314,random
18,8,50%,0.9028235294117648,random
19,9,50%,0.9669803921568628,random
0,0,10%,0.9660512820512819,uncertainty
1,1,10%,0.9666666666666668,uncertainty
2,2,10%,0.9672820512820514,uncertainty
3,3,10%,1.0,uncertainty
4,4,10%,1.0,uncertainty
5,5,10%,1.0,uncertainty
6,6,10%,1.0,uncertainty
7,7,10%,0.9665831244778612,uncertainty
8,8,10%,0.9666666666666668,uncertainty
9,9,10%,1.0,uncertainty
10,0,50%,0.9657687991021324,uncertainty
11,1,50%,0.9333333333333332,uncertainty
12,2,50%,0.932962962962963,uncertainty
13,3,50%,0.9665831244778612,uncertainty
14,4,50%,1.0,uncertainty
15,5,50%,0.9333333333333332,uncertainty
16,6,50%,0.9662801932367148,uncertainty
17,7,50%,0.7980769230769231,uncertainty
18,8,50%,1.0,uncertainty
19,9,50%,0.9337037037037038,uncertainty
0,0,10%,0.16666666666666666,labelpropknn
1,1,10%,0.16666666666666666,labelpropknn
2,2,10%,0.16666666666666666,labelpropknn
3,3,10%,0.16666666666666666,labelpropknn
4,4,10%,0.16666666666666666,labelpropknn
5,5,10%,0.16666666666666666,labelpropknn
6,6,10%,0.16666666666666666,labelpropknn
7,7,10%,0.16666666666666666,labelpropknn
8,8,10%,0.16666666666666666,labelpropknn
9,9,10%,0.16666666666666666,labelpropknn
10,0,50%,0.9666366396423448,labelpropknn
11,1,50%,0.9799979997999799,labelpropknn
12,2,50%,0.9799979997999799,labelpropknn
13,3,50%,0.9733226623982928,labelpropknn
14,4,50%,0.841947867559893,labelpropknn
15,5,50%,0.5444513557721106,labelpropknn
16,6,50%,0.9666366396423448,labelpropknn
17,7,50%,0.9733226623982928,labelpropknn
18,8,50%,0.9666366396423448,labelpropknn
19,9,50%,0.9733226623982928,labelpropknn
0,0,10%,0.9733226623982928,labelproprbf
1,1,10%,0.9733226623982928,labelproprbf
2,2,10%,0.9053030303030302,labelproprbf
3,3,10%,0.9599358974358976,labelproprbf
4,4,10%,0.9599358974358976,labelproprbf
5,5,10%,0.9599358974358976,labelproprbf
6,6,10%,0.9599358974358976,labelproprbf
7,7,10%,0.9733226623982928,labelproprbf
8,8,10%,0.9048007615939072,labelproprbf
9,9,10%,0.9599358974358976,labelproprbf
10,0,50%,0.9866613311991462,labelproprbf
11,1,50%,0.9866666666666668,labelproprbf
12,2,50%,1.0,labelproprbf
13,3,50%,0.9799979997999799,labelproprbf
14,4,50%,0.9866613311991462,labelproprbf
15,5,50%,0.9732905982905984,labelproprbf
16,6,50%,0.9866666666666668,labelproprbf
17,7,50%,0.9866666666666668,labelproprbf
18,8,50%,0.9665831244778614,labelproprbf
19,9,50%,0.9866666666666668,labelproprbf
0,0,10%,0.9666366396423448,labelspreadknn
1,1,10%,0.9733226623982928,labelspreadknn
2,2,10%,0.8768472906403941,labelspreadknn
3,3,10%,0.9599358974358976,labelspreadknn
4,4,10%,0.9666366396423448,labelspreadknn
5,5,10%,0.9329039184111648,labelspreadknn
6,6,10%,0.9399459513562208,labelspreadknn
7,7,10%,0.9666366396423448,labelspreadknn
8,8,10%,0.9048007615939072,labelspreadknn
9,9,10%,0.9733226623982928,labelspreadknn
10,0,50%,0.9733226623982928,labelspreadknn
11,1,50%,0.9799979997999799,labelspreadknn
12,2,50%,0.9799979997999799,labelspreadknn
13,3,50%,0.9733226623982928,labelspreadknn
14,4,50%,0.946323134728932,labelspreadknn
15,5,50%,0.9799979997999799,labelspreadknn
16,6,50%,0.9666366396423448,labelspreadknn
17,7,50%,0.9799979997999799,labelspreadknn
18,8,50%,0.9666366396423448,labelspreadknn
19,9,50%,0.9733226623982928,labelspreadknn
0,0,10%,0.5841995841995842,labelspreadrbf
1,1,10%,0.8820029903172909,labelspreadrbf
2,2,10%,0.5650069931771973,labelspreadrbf
3,3,10%,0.8767024396664842,labelspreadrbf
4,4,10%,0.7623291740938799,labelspreadrbf
