,iterations,Variable,Time,model
0,0,10%,9.006314277648926,QBC
1,1,10%,8.979696273803711,QBC
2,2,10%,9.227267503738405,QBC
3,3,10%,8.813077926635742,QBC
4,4,10%,9.015640020370485,QBC
5,5,10%,9.051076889038086,QBC
6,6,10%,9.094366312026976,QBC
7,7,10%,8.95696496963501,QBC
8,8,10%,9.491624355316162,QBC
9,9,10%,9.234543800354004,QBC
10,0,50%,9.381075620651243,QBC
11,1,50%,9.922403335571287,QBC
12,2,50%,9.50316047668457,QBC
13,3,50%,9.445881128311155,QBC
14,4,50%,9.537447452545166,QBC
15,5,50%,9.618374347686768,QBC
16,6,50%,9.28414225578308,QBC
17,7,50%,10.066143274307253,QBC
18,8,50%,9.643496990203856,QBC
19,9,50%,9.348963260650637,QBC
0,0,10%,1.3383028507232666,random
1,1,10%,1.332765817642212,random
2,2,10%,1.333629846572876,random
3,3,10%,1.347336769104004,random
4,4,10%,1.3489413261413574,random
5,5,10%,1.3155198097229004,random
6,6,10%,1.3730289936065674,random
7,7,10%,1.3391966819763184,random
8,8,10%,1.3257050514221191,random
9,9,10%,1.4289627075195312,random
10,0,50%,1.4764773845672607,random
11,1,50%,1.4735476970672607,random
12,2,50%,1.5397439002990725,random
13,3,50%,1.5476160049438477,random
14,4,50%,1.5037150382995603,random
15,5,50%,1.5417191982269287,random
16,6,50%,1.5408542156219482,random
17,7,50%,1.5027430057525637,random
18,8,50%,1.4808926582336426,random
19,9,50%,1.6290860176086426,random
0,0,10%,2.05420994758606,uncertainty
1,1,10%,1.865189790725708,uncertainty
2,2,10%,1.9688148498535158,uncertainty
3,3,10%,2.0747418403625493,uncertainty
4,4,10%,2.045654296875,uncertainty
5,5,10%,2.0294523239135738,uncertainty
6,6,10%,2.086374998092652,uncertainty
7,7,10%,2.068233728408813,uncertainty
8,8,10%,2.0445892810821533,uncertainty
9,9,10%,2.006519556045532,uncertainty
10,0,50%,2.144905567169189,uncertainty
11,1,50%,2.136581897735596,uncertainty
12,2,50%,2.1658039093017583,uncertainty
13,3,50%,2.3242647647857666,uncertainty
14,4,50%,2.2907123565673837,uncertainty
15,5,50%,2.271878480911255,uncertainty
16,6,50%,2.2860476970672607,uncertainty
17,7,50%,2.269235134124756,uncertainty
18,8,50%,2.233250856399536,uncertainty
19,9,50%,2.1866703033447266,uncertainty
0,0,10%,0.06299757957458496,labelpropknn
1,1,10%,0.04055285453796387,labelpropknn
2,2,10%,0.04091477394104004,labelpropknn
3,3,10%,0.03895425796508789,labelpropknn
4,4,10%,0.04130077362060547,labelpropknn
5,5,10%,0.04106426239013672,labelpropknn
6,6,10%,0.040049076080322266,labelpropknn
7,7,10%,0.03884053230285645,labelpropknn
8,8,10%,0.0416719913482666,labelpropknn
9,9,10%,0.039003849029541016,labelpropknn
10,0,50%,0.003864288330078125,labelpropknn
11,1,50%,0.03950238227844238,labelpropknn
12,2,50%,0.0037355422973632812,labelpropknn
13,3,50%,0.0036420822143554688,labelpropknn
14,4,50%,0.03975844383239746,labelpropknn
15,5,50%,0.039483308792114265,labelpropknn
16,6,50%,0.003560304641723633,labelpropknn
17,7,50%,0.0036466121673583984,labelpropknn
18,8,50%,0.03919053077697754,labelpropknn
19,9,50%,0.003559589385986328,labelpropknn
0,0,10%,0.04892110824584961,labelproprbf
1,1,10%,0.013342857360839844,labelproprbf
2,2,10%,0.024630308151245117,labelproprbf
3,3,10%,0.028241872787475582,labelproprbf
4,4,10%,0.020905733108520508,labelproprbf
5,5,10%,0.03069472312927246,labelproprbf
6,6,10%,0.02092146873474121,labelproprbf
7,7,10%,0.031777143478393555,labelproprbf
8,8,10%,0.02324843406677246,labelproprbf
9,9,10%,0.032642126083374016,labelproprbf
10,0,50%,0.008589029312133789,labelproprbf
11,1,50%,0.0037691593170166016,labelproprbf
12,2,50%,0.00650477409362793,labelproprbf
13,3,50%,0.009745121002197266,labelproprbf
14,4,50%,0.019843578338623047,labelproprbf
15,5,50%,0.014200448989868162,labelproprbf
16,6,50%,0.004007816314697266,labelproprbf
17,7,50%,0.006475687026977539,labelproprbf
18,8,50%,0.016301393508911133,labelproprbf
19,9,50%,0.004219293594360352,labelproprbf
0,0,10%,0.01211237907409668,labelspreadknn
1,1,10%,0.005194187164306641,labelspreadknn
2,2,10%,0.003586292266845703,labelspreadknn
3,3,10%,0.003537893295288086,labelspreadknn
