,iterations,Variable,Accuracy,model
0,0,10%,0.9724355692097628,QBC
1,1,10%,1.0,QBC
2,2,10%,0.9445140629351156,QBC
3,3,10%,0.8888888888888888,QBC
4,4,10%,0.9725323409533936,QBC
5,5,10%,1.0,QBC
6,6,10%,1.0,QBC
7,7,10%,0.9437468671679198,QBC
8,8,10%,0.9722988505747128,QBC
9,9,10%,0.9723157500935279,QBC
10,0,50%,1.0,QBC
11,1,50%,0.9451252723311546,QBC
12,2,50%,0.9451178451178452,QBC
13,3,50%,0.9447751322751322,QBC
14,4,50%,0.972039232908798,QBC
15,5,50%,0.9442690058479531,QBC
16,6,50%,0.913101604278075,QBC
17,7,50%,0.9159839563065368,QBC
18,8,50%,0.9722918407128932,QBC
19,9,50%,0.9722531207514524,QBC
0,0,10%,0.9440888256677732,random
1,1,10%,0.9440438034188032,random
2,2,10%,1.0,random
3,3,10%,0.9173493770267964,random
4,4,10%,0.9726423902894492,random
5,5,10%,0.9438240970499034,random
6,6,10%,0.8583186360964139,random
7,7,10%,0.9444444444444444,random
8,8,10%,0.916935050993022,random
9,9,10%,0.943655303030303,random
10,0,50%,1.0,random
11,1,50%,1.0,random
12,2,50%,0.9160427807486632,random
13,3,50%,1.0,random
14,4,50%,0.9451178451178452,random
15,5,50%,0.9172705314009664,random
16,6,50%,0.9445019553715208,random
17,7,50%,0.972145593869732,random
18,8,50%,0.9725323409533936,random
19,9,50%,0.9448329448329448,random
0,0,10%,0.9170755170755168,uncertainty
1,1,10%,0.9442888266417678,uncertainty
2,2,10%,0.9724046706805328,uncertainty
3,3,10%,0.972063492063492,uncertainty
4,4,10%,0.9437710437710438,uncertainty
5,5,10%,0.9165564373897708,uncertainty
6,6,10%,0.9721558476038764,uncertainty
7,7,10%,1.0,uncertainty
8,8,10%,0.9447945845004668,uncertainty
9,9,10%,1.0,uncertainty
10,0,50%,0.9724627224627224,uncertainty
11,1,50%,0.9444444444444444,uncertainty
12,2,50%,0.944973544973545,uncertainty
13,3,50%,1.0,uncertainty
14,4,50%,1.0,uncertainty
15,5,50%,0.9724355692097628,uncertainty
16,6,50%,1.0,uncertainty
17,7,50%,0.9430374599456725,uncertainty
18,8,50%,0.9719121034910508,uncertainty
19,9,50%,0.9723976608187136,uncertainty
0,0,10%,0.16503105295595694,labelpropknn
1,1,10%,0.20063063463161165,labelpropknn
2,2,10%,0.16503105295595694,labelpropknn
3,3,10%,0.19807657612997487,labelpropknn
4,4,10%,0.1789798704796262,labelpropknn
5,5,10%,0.1789798704796262,labelpropknn
6,6,10%,0.20927743482701955,labelpropknn
7,7,10%,0.16503105295595694,labelpropknn
8,8,10%,0.20929422637287806,labelpropknn
9,9,10%,0.16503105295595694,labelpropknn
10,0,50%,0.6263101754674789,labelpropknn
11,1,50%,0.7608123387970275,labelpropknn
12,2,50%,0.7451235009442688,labelpropknn
13,3,50%,0.6501277068182073,labelpropknn
14,4,50%,0.7848231737037266,labelpropknn
15,5,50%,0.7302195714506413,labelpropknn
16,6,50%,0.7315618864112369,labelpropknn
17,7,50%,0.7882305540148098,labelpropknn
18,8,50%,0.7315593878121998,labelpropknn
19,9,50%,0.746387050865586,labelpropknn
0,0,10%,0.16503105295595694,labelproprbf
1,1,10%,0.16503105295595694,labelproprbf
2,2,10%,0.16503105295595694,labelproprbf
3,3,10%,0.16503105295595694,labelproprbf
4,4,10%,0.16503105295595694,labelproprbf
5,5,10%,0.16503105295595694,labelproprbf
6,6,10%,0.16503105295595694,labelproprbf
7,7,10%,0.16503105295595694,labelproprbf
8,8,10%,0.16503105295595694,labelproprbf
9,9,10%,0.16503105295595694,labelproprbf
10,0,50%,0.16503105295595694,labelproprbf
11,1,50%,0.16503105295595694,labelproprbf
12,2,50%,0.16503105295595694,labelproprbf
13,3,50%,0.16503105295595694,labelproprbf
14,4,50%,0.16503105295595694,labelproprbf
15,5,50%,0.16503105295595694,labelproprbf
16,6,50%,0.16503105295595694,labelproprbf
17,7,50%,0.16503105295595694,labelproprbf
18,8,50%,0.16503105295595694,labelproprbf
19,9,50%,0.16503105295595694,labelproprbf
0,0,10%,0.6020838079281212,labelspreadknn
1,1,10%,0.6409194456586017,labelspreadknn
2,2,10%,0.6607456471873586,labelspreadknn
3,3,10%,0.67422315318334,labelspreadknn
4,4,10%,0.6634291047564083,labelspreadknn
5,5,10%,0.6489691924348048,labelspreadknn
6,6,10%,0.6881104111813112,labelspreadknn
7,7,10%,0.7262678802664125,labelspreadknn
8,8,10%,0.6634473297462425,labelspreadknn
9,9,10%,0.6759509538736749,labelspreadknn
10,0,50%,0.7464425824250432,labelspreadknn
11,1,50%,0.7621462801194074,labelspreadknn
12,2,50%,0.741971360057354,labelspreadknn
13,3,50%,0.7596429787441024,labelspreadknn
14,4,50%,0.7761149449774288,labelspreadknn
15,5,50%,0.7176804235090752,labelspreadknn
16,6,50%,0.7315618864112369,labelspreadknn
17,7,50%,0.7715958089057892,labelspreadknn
18,8,50%,0.7399545149387721,labelspreadknn
19,9,50%,0.7529579895210504,labelspreadknn
0,0,10%,0.6367638023004161,labelspreadrbf
1,1,10%,0.6834372014738662,labelspreadrbf
2,2,10%,0.7463234539739227,labelspreadrbf
3,3,10%,0.6952287787963304,labelspreadrbf
4,4,10%,0.6908810356691099,labelspreadrbf
5,5,10%,0.6496579747014345,labelspreadrbf
6,6,10%,0.7030955044598706,labelspreadrbf
7,7,10%,0.7255194926481146,labelspreadrbf
8,8,10%,0.6340021826233866,labelspreadrbf
9,9,10%,0.7217897420484987,labelspreadrbf
10,0,50%,0.8876336090863206,labelspreadrbf
11,1,50%,0.8408847993621551,labelspreadrbf
12,2,50%,0.8438246658080562,labelspreadrbf
13,3,50%,0.8782709567945374,labelspreadrbf
14,4,50%,0.8900780409976802,labelspreadrbf
15,5,50%,0.8642502071635005,labelspreadrbf
16,6,50%,0.8600662379995492,labelspreadrbf
17,7,50%,0.8536396150618986,labelspreadrbf
18,8,50%,0.8545058472827334,labelspreadrbf
19,9,50%,0.8411911656895906,labelspreadrbf
