,iterations,Variable,Time,model
0,0,10%,13.143502712249756,QBC
1,1,10%,13.202591896057127,QBC
2,2,10%,13.119591474533081,QBC
3,3,10%,13.18546199798584,QBC
4,4,10%,13.158727645874025,QBC
5,5,10%,13.215027809143065,QBC
6,6,10%,13.168911695480347,QBC
7,7,10%,13.186877727508545,QBC
8,8,10%,13.20231819152832,QBC
9,9,10%,13.10935664176941,QBC
10,0,50%,15.704777717590332,QBC
11,1,50%,15.672041893005373,QBC
12,2,50%,15.695008039474487,QBC
13,3,50%,15.733930587768555,QBC
14,4,50%,15.811696290969849,QBC
15,5,50%,15.766304969787598,QBC
16,6,50%,15.674705505371096,QBC
17,7,50%,15.665130376815796,QBC
18,8,50%,15.618759870529175,QBC
19,9,50%,15.790180206298828,QBC
0,0,10%,1.9541842937469482,random
1,1,10%,1.948908805847168,random
2,2,10%,1.9872863292694087,random
3,3,10%,1.96024751663208,random
4,4,10%,1.9498264789581297,random
5,5,10%,1.9576106071472168,random
6,6,10%,1.9575145244598389,random
7,7,10%,1.9487411975860602,random
8,8,10%,1.956758975982666,random
9,9,10%,1.967794418334961,random
10,0,50%,2.4393205642700195,random
11,1,50%,2.453066349029541,random
12,2,50%,2.454121351242065,random
13,3,50%,2.447237968444824,random
14,4,50%,2.44363021850586,random
15,5,50%,2.4597814083099365,random
16,6,50%,2.450798749923706,random
17,7,50%,2.488800287246704,random
18,8,50%,2.4501125812530518,random
19,9,50%,2.425312042236328,random
0,0,10%,2.883711576461792,uncertainty
1,1,10%,2.8903138637542725,uncertainty
2,2,10%,2.8865270614624023,uncertainty
3,3,10%,2.8969900608062744,uncertainty
4,4,10%,2.912635087966919,uncertainty
5,5,10%,2.880855798721313,uncertainty
6,6,10%,2.928898334503174,uncertainty
7,7,10%,2.9225239753723145,uncertainty
8,8,10%,2.912061929702759,uncertainty
9,9,10%,2.8718795776367188,uncertainty
10,0,50%,3.662564516067505,uncertainty
11,1,50%,3.712110757827759,uncertainty
12,2,50%,3.7358934879302974,uncertainty
13,3,50%,3.7144148349761963,uncertainty
14,4,50%,3.6399879455566406,uncertainty
15,5,50%,3.646993398666382,uncertainty
16,6,50%,3.6570742130279537,uncertainty
17,7,50%,3.6595854759216313,uncertainty
18,8,50%,3.64198637008667,uncertainty
19,9,50%,3.6628940105438232,uncertainty
0,0,10%,0.05162143707275391,labelpropknn
1,1,10%,0.05031442642211914,labelpropknn
2,2,10%,0.050192594528198235,labelpropknn
3,3,10%,0.05434584617614746,labelpropknn
4,4,10%,0.04982495307922363,labelpropknn
5,5,10%,0.05446577072143555,labelpropknn
6,6,10%,0.05800747871398927,labelpropknn
7,7,10%,0.05028557777404785,labelpropknn
8,8,10%,0.050565242767333984,labelpropknn
9,9,10%,0.05281782150268555,labelpropknn
10,0,50%,0.05109786987304688,labelpropknn
11,1,50%,0.00484156608581543,labelpropknn
12,2,50%,0.004837751388549805,labelpropknn
13,3,50%,0.0494990348815918,labelpropknn
14,4,50%,0.004905939102172852,labelpropknn
15,5,50%,0.00500798225402832,labelpropknn
16,6,50%,0.004827976226806641,labelpropknn
17,7,50%,0.005218982696533203,labelpropknn
18,8,50%,0.005211353302001953,labelpropknn
19,9,50%,0.005288839340209961,labelpropknn
0,0,10%,0.060400724411010735,labelproprbf
1,1,10%,0.061756134033203125,labelproprbf
2,2,10%,0.053453922271728516,labelproprbf
3,3,10%,0.05312657356262207,labelproprbf
4,4,10%,0.052983760833740234,labelproprbf
5,5,10%,0.05322408676147461,labelproprbf
6,6,10%,0.05323672294616698,labelproprbf
7,7,10%,0.0530848503112793,labelproprbf
8,8,10%,0.0547635555267334,labelproprbf
9,9,10%,0.053118228912353516,labelproprbf
10,0,50%,0.0626978874206543,labelproprbf
11,1,50%,0.05387163162231445,labelproprbf
12,2,50%,0.05333900451660156,labelproprbf
13,3,50%,0.05343818664550781,labelproprbf
14,4,50%,0.053373098373413086,labelproprbf
15,5,50%,0.053467512130737305,labelproprbf
16,6,50%,0.053595781326293945,labelproprbf
17,7,50%,0.05343008041381836,labelproprbf
18,8,50%,0.05667924880981445,labelproprbf
19,9,50%,0.05434226989746094,labelproprbf
0,0,10%,0.006468534469604492,labelspreadknn
1,1,10%,0.005046844482421875,labelspreadknn
2,2,10%,0.004989862442016602,labelspreadknn
3,3,10%,0.005292892456054688,labelspreadknn
